romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
ʃambelan,ʃambɛlâ,t͡ʃambelːano,t͡ʃambelan
sənətate,sante,sanita,sanidas
sanktifika,sâktjfje,santifikare,santifikaɾ
sanktuar,sâktɥɛr,santuario,santwaɾjo
sandal,sandal,sandalo,sandalja
sandarak,sandarak,sandrakːa,sandaɾaka
sɨnd͡ʒe,saŋ,sanɡue,sanɡɾe
sanɡuinə,saŋɥɛ̃,sanɡue,sanɡɾe
sanɡvin,saŋɥɛ̃,sanɡue,sanɡɾe
saponifika,sapɔnifje,saponifikare,saponifikaɾ
ʃapte,sɛpt,setːe,sjete
šar,sajlir,salire,saliɾ
sarkasm,sarkasm,sarkazmo,saɾkasmo
sarkofaɡ,sarkɔfaʒ,sarkofaɡo,saɾkofaɡo
sardea,sardin,sardelːa,saɾdina
sərind,sajlir,salire,saliɾ
ʃarpe,sɛrp,serpe,sjeɾpe
sərpun,sɛrpɔlɛ,sermolːo,seɾpol
ʃase,si,doispreset͡ʃe,seis
sat͡sietate,satjete,sasieta,sasiedad
satrap,satra,satrapo,satɾapa
saturat͡sie,satyratjɔ̃,saturasione,satuɾasion
səŭ,sɔ̃,suo,subo
saksifraɡə,saksifraɡa,sasːifraɡa,saksifɾaɡa
skədea,ɛsʃəe,ʃadere,eskaeseɾ
skalə,eʃɛl,ʃala,eskala
skəlda,skald,ʃaldare,eskaldaɾ
skalen,skalɛn,ʃaleno,eskaleno
skandal,skandal,ʃándalo,eskandalo
skandaliza,skandalize,ʃandalit͡sare,eskandalisaɾ
skarifika,skarifje,ʃarifikare,eskaɾifikaɾ
skaun,ɛsʃam,ʃanːo,eskano
st͡ʃenə,sɛnɛ,st͡ʃena,sainete
st͡ʃenik,senik,st͡ʃeniko,esseniko
st͡ʃeptik,sɛptjk,st͡ʃetːiko,esseptiko
st͡ʃeptru,sɛptr,st͡ʃetːro,setɾo
skemə,sʃəm,skema,eskema
ʃkiaŭ,ɛsklav,skiavo,esklabo
skismə,sʃism,st͡ʃizma,sisma
st͡ʃiatik,skjatjk,st͡ʃatiko,siatiko
ʃkoalə,ekɔl,ʃuola,eskwela
skorbut,skɔrby,ʃorbuto,eskoɾbuto
skorpion,skɔrpjɔ̃,ʃorpione,eskoɾpjon
skrie,ekrir,ʃrivere,eskɾibiɾ
skrot,skrɔtɥə̃,ʃroto,eskɾoto
skrupul,skrypyl,ʃrupolo,eskɾupulos
skulpta,skylpte,ʃolpire,eskulpiɾ
skulptor,skylptœr,ʃultore,eskultoɾ
skulpturə,skylptyr,ʃultura,eskultuɾa
skurt,brəf,korto,koɾto
seməna,sâble,seminare,sembɾaɾ
sebum,sebɥə̃,sebo,sebo
seka,sɛktjɔne,sekːo,seko
set͡ʃesiune,sezɛsjɔ̃,set͡ʃesːione,sesesjon
sekestra,sekɛstre,sekuestrare,sekwestɾaɾ
set͡ʃi,sɛktjɔne,sekːo,seko
sekol,sjɛkl,sekolo,siɡlo
sekretar,sɛkretɛr,seɡretario,sekɾetaɾjo
sekret͡sie,sekretjɔ̃,sekresione,sekɾesion
sekular,sekylɛr,sekolare,sekulaɾ
sek,seʃe,sekːo,seko
sekund,səkɔn,sekondo,seɡwndo
sekundə,səkɔn,sekondo,seɡwndo
sekvent͡sə,sekɛn,sekuensa,sekwensia
ʃede,səwar,sede,seeɾ
sedentar,sedɛntɛr,sedentario,sedentaɾjo
sediment,sədim,sedimento,sedimento
sedimento,sedimɛntɔ,sedimento,sedimento
sedit͡sios,seditjœ,sedisioso,sedisioso
sedit͡siune,seditjɔ̃,sedisione,sedision
sedut͡ʃe,sedɥir,sedurːe,sedusiɾ
sedukt͡sie,sedyktjɔ̃,sedusione,seduksion
seɡment,sɛɡm,seɡmento,seɡmento
selekt͡sie,selɛktjɔ̃,selesione,seleksion
semestru,səmɛstr,semestre,semestɾe
seminal,seminal,seminale,seminal
seminar,seminɛr,seminario,seminaɾjo
semn,ɛnsɛɲe,seɲo,enseɲaɾ
semnifika,siɲifje,siɲifikare,siɡnifikaɾ
senatoare,senatœr,senatore,senadoɾ
senil,sənil,senile,senil
senilia,senil,senile,senil
senina,sərɛ̃,sereno,seɾeno
seninətate,serenite,serenita,seɾenidad
senior,mɔnsɛɲœr,siɲore,seɲoɾ
sensibile,sɛnsibl,sensibile,sensible
sensibilitate,sɛnsibilite,sensibilita,sensibilidad
sensual,sɛnsɥɛl,sensuale,senswal
sentent͡sios,sɛntâkjœ,sentensioso,sentensioso
sentint͡sə,sɛntɛn,sentensa,sentensia
separabil,separabl,separabile,sepaɾable
separat͡sie,separatjɔ̃,separasione,sepaɾasion
separat͡siune,separatjɔ̃,separasione,sepaɾasion
separator,separatœr,separatore,sepaɾadoɾ
septimə,sɛptjm,setːima,septimo
sepulkral,sepylkral,sepolkrale,sepulkɾal
ʃerb,dɛsɛrvir,salvetːa,sjeɾbo
serenitate,serenite,serenita,seɾenidad
serie,serj,serie,seɾje
servi,sɛrvir,servo,seɾbiɾ
servit͡ʃiŭ,sɛrviz,servisio,seɾbisio
sesiune,sɛsjɔ̃,sesːione,sesjon
sete,swaf,sete,sed
seks,sɛksa,sesːo,sekso
seksual,sɛksɥɛl,sesːuale,sekswal
sferə,sfɛr,sfera,esfeɾa
sferik,sferik,sferiko,esfeɾiko
sfinkter,sfɛ̃t́,sfintere,esfinteɾ
sideral,sideral,siderale,sideɾal
silabə,silab,silːaba,silaba
silent͡sios,silâkjœ,silensioso,silensioso
silod͡ʒism,sijɔʒism,silːod͡ʒizmo,siloxismo
siloz,silɔ,silos,silo
simbolik,simbɔlik,simboliko,simboliko
simetrie,simetrj,simːetria,simetɾja
simfonie,simfɔnj,sinfonia,sinfonja
simplifika,sɛ̃plifje,semplifikare,simplifikaɾ
simula,simyle,simulare,simulaɾ
simulakru,simylakr,simulakro,simulakɾo
simulat͡sie,simylatjɔ̃,simulasione,simulasion
sint͡ʃeritate,sinserite,sint͡ʃerita,sinseɾidad
sinkopə,sinkɔ,sinkope,sinkope
sindik,sindik,sindako,sindiko
sinekdokə,sinɛkdɔk,sinedːoke,sinekdoke
sinerezə,sinerɛz,sineresi,sineɾesis
sinɡular,siŋylje,sinɡolare,sinɡwlaɾ
sinɡularitate,siŋylarite,sinɡolarita,sinɡwlaɾidad
sinɡur,sâɡl,sinɡolo,sendos
sinistra,sinistr,sinistro,sinjestɾo
sintaksə,sinta,sintasːi,sintaksis
sinut͡ʃidere,sɥizi,suit͡ʃidio,swisidjo
sinuos,sinɥœ,sinuoso,sinwoso
sirenə,sirɛn,sirena,siɾena
sistem,sistɛmatjk,sistema,sistema
situa,sitɥe,situare,sitwaɾ
soarbə,absɔrbe,sorbire,soɾbeɾ
soare,sɔlɛr,sole,sol
sobrietate,sɔbrjete,sobrieta,sobɾjedad
sobru,sɔbr,sobrio,sobɾjo
sot͡ʃiabil,sɔkjabl,sot͡ʃevole,sosiable
sot͡ʃial,sɔkjal,sot͡ʃale,sosial
sot͡ʃietate,sɔkjete,sot͡ʃeta,sosiedad
sot͡ʃio,sɔkjɔ,sot͡ʃo,sosio
sofist,sɔfist,sofista,sofista
solemn,sɔlɛnɛl,solenːe,solemne
solemnitate,sɔlɛnite,solenːita,solemnidad
solipsism,sɔlipsism,solipsizmo,solipsismo
solitar,sɔlitɛr,solitario,solitaɾjo
solstit͡siŭ,sɔlistjz,solstisio,solstisio
solubil,sɔlybl,solubile,soluble
solut͡sie,sɔlytjɔ̃,solusione,solusion
solvent,sɔlvan,solvente,solbente
sonoritate,sɔnɔrite,sonorita,sonoɾidad
sorbul,sɔrb,sorbo,seɾba
sordid,sɔrdi,sordido,soɾdido
spadə,ɛspadɔ̃,spada,espada
spat͡sios,spakjœ,spasioso,espasioso
spat͡siŭ,ɛspaz,spasio,espasio
spatulə,spatyl,spatola,espatula
spet͡ʃial,spɛkjal,spet͡ʃale,espesial
spet͡ʃialitate,spekjalite,spet͡ʃalita,espesialidad
spet͡ʃios,spekjœ,spet͡ʃoso,espesioso
spektator,spɛktatœr,spetːatore,espektadoɾ
spektru,spɛktr,spetːro,espektɾo
spekula,spekyle,spekulare,espekulaɾ
spekulat͡sie,spekylatjɔ̃,spekulasione,espekulasion
spermə,spɛrm,sperma,espeɾma
spik,epi,spiɡa,espiɡa
spikul,spikyl,spiɡa,espiɡa
spin,spɛ̃,spina,espina
spirit,ɛspri,spirito,espiɾitu
spiritual,spiritɥal,spirituale,espiɾitwal
spital,opital,ospitale,ospital
splendid,splɛndi,splendido,esplendido
splendoare,splɛndœr,splendore,esplendoɾ
spontan,spɔntane,spontaneo,espontaneo
sprint͡ʃeanə,sursil,soprat͡ʃiʎo,sobɾeseɲo
spumə,spyma,skiuma,espuma
spune,ɛspɔ̃dr,esporːe,eksponeɾ
stabilitate,stabilite,stabilita,estabilidad
staminə,etamin,stamiɲa,estambɾe
stat,ɛste,stato,estado
stat͡sie,statjɔ̃,station,estasion
stat͡sionar,statjɔnɛr,stasionario,estasionaɾjo
statuar,statɥɛr,statuario,estatwaɾja
statuarə,statɥɛr,statuario,estatwaɾja
staturə,statyr,statura,estatuɾa
staul,etabl,stabːio,establo
steril,steril,sterile,esteɾil
sterilitate,sterilite,sterilita,esteɾilidad
stiɡmə,stjɡma,stiɡma,estiɡma
stiɡmati,stjɡmatj,stiɡma,estiɡma
ʃtiint͡sə,skjɛn,st͡ʃensa,siensia
stil,stjl,stile,estilo
stimul,stjmyly,stimolo,estimulo
stimula,stjmyle,stimolare,estimulaɾ
stipula,stjpyle,stipulare,estipulaɾ
stipulat͡sie,stjpylatjɔ̃,stipulasione,estipulasion
stipulat͡siune,stjpylatjɔ̃,stipulasione,estipulasion
stoik,stoik,stoiko,estoiko
stomah,ɛstɔmak,stomako,estomakal
stranɡula,etrâɡle,stranɡolare,estɾanɡwlaɾ
stratad͡ʒemə,strataʒɛm,stratad͡ʒemːa,estɾataxema
strateɡ,stratɛʒ,stratad͡ʒemːa,estɾateɡa
stratosferə,stratɔsfɛr,stratosfera,estɾatosfeɾa
stridie,ɥitr,ostrika,ostɾa
stridor,stridɔr,stridore,estɾidoɾ
strofə,strɔf,strofa,estɾofa
strukturə,ji,strutːura,estɾuktuɾa
studios,stydjœ,studioso,estudjoso
stupid,stypi,stupido,estupido
sub,su,sotːo,so
sublim,syblim,sublime,sublime
sublima,syblim,sublime,sublime
sublimitate,syblimite,sublimita,sublimidad
subroɡat͡sie,sybrɔɡatjɔ̃,surːoɡasione,subɾoɡasion
subteran,sutɛrrɛ̃,sotːerːaneo,subteraneo
subterfud͡ʒiŭ,sybtɛrfyʒ,sotːerfud͡ʒo,subteɾfuxio
subversiune,sybvɛrsjɔ̃,sovːersione,subbeɾsjon
subzista,sybsiste,susːistere,subsistiɾ
subzistent͡sə,sybsistan,susːistensa,subsistensia
suk,syk,sukːo,xuɡo
sukt͡ʃesiune,syksɛsjɔ̃,sut͡ʃːesːione,susesjon
sukt͡ʃesoare,sɛksɛsœr,sut͡ʃːesːore,susesoɾ
sukomba,sykkɔmbe,sokːombere,sukumbiɾ
sukub,sykkyb,sukːube,sukubo
sudoare,sudœr,sudore,sudoɾ
sudori,sudœr,sudore,sudoɾ
suferi,sufrir,sofːrire,sufɾiɾ
sufit͡ʃient,syfizan,sufːit͡ʃente,sufisiente
sufiks,syfi,sufːisːo,sufixo
sufla,sufle,sofːiare,soʝaɾ
sufrad͡ʒiŭ,syfraʒ,sufːrad͡ʒo,sufɾaxio
sud͡ʒera,syɡʒere,sud͡ʒːerire,suxeɾiɾ
suɡit͡sa,sâɡlɔ,sinɡiot͡so,soljoso
sulf,sufr,solfo,asufɾe
sun,sɔ̃,sonare,sonaɾ
superfit͡ʃial,sypɛrfikjɛl,superfit͡ʃale,supeɾfisial
superfit͡ʃie,sypɛrfikj,superfit͡ʃe,supeɾfisie
superfluu,sypɛrfly,superfluo,supeɾflwo
superlativ,sypɛrlatjf,superlativo,supeɾlatibo
superstit͡sie,sypɛrstjtjɔ̃,superstisione,supeɾstision
superstit͡sios,sypɛrstjtjœ,superstisioso,supeɾstisioso
supinat͡sie,sypinatjɔ̃,supinasione,supinasion
supozit͡sie,sypɔzitjɔ̃,supːosisione,suposision
suprem,syprɛm,supremo,supɾemo
suprima,syprime,sopːrimere,supɾimiɾ
supurat͡sie,sypyratjɔ̃,supːurasione,supuɾasion
sust͡ʃeptibil,syzɛptjbl,sust͡ʃetːibile,susseptible
suspenda,syspâdr,sospendere,suspendeɾ
suspensie,syspâsjɔ̃,sospensione,suspensjon
tabernakol,tabɛrnakl,tabarnakolo,tabeɾnakulo
tabes,tabɛ,tabe,tabes
tat͡ʃit,tazi,tat͡ʃito,tasito
tat͡ʃiturn,tazityrn,tat͡ʃiturno,tasituɾno
tət͡ʃiune,ʃarbɔ̃,karbone,tison
takt,takt,tatːo,takto
təia,âtrɛkupe,taʎare,taxaɾ
talent,tal,talento,talento
tɨmplə,tâpl,tempio,templo
tandem,tandâ,tandem,tandem
tand͡ʒent,taŋ,tand͡ʒente,tanxente
tand͡ʒibil,tanʒibl,tand͡ʒibile,tanxible
t͡sarə,tɛrr,terːa,tjera
tatə,taj,it,tata
təun,taɔ̃,tafáno,tabano
taur,tɔr,toro,toɾo
t͡seastə,tɛ,testa,testa
teatral,teɑtral,teatrale,teatɾal
teatru,teɑtr,teatro,teatɾo
teɡument,teɡm,teɡumento,teɡwmento
temə,tɛm,tema,tema
temperament,tɛmperam,temperamento,tempeɾamento
temperant͡sə,tɛmperan,temperansa,templansa
temperaturə,tɛmperatyr,temperatura,tempeɾatuɾa
tempestə,tɛmpɛ,tempesta,tempestad
templu,tâpl,tempio,templo
temporalitate,tɛmpɔralite,temporalita,tempoɾalidad
tenat͡ʃe,tənaz,tenat͡ʃe,tenas
tenat͡ʃitate,tənazite,tenat͡ʃita,tenasidad
tenie,tenja,tenia,tenja
teoremə,teɔrɛm,teorema,teoɾema
terebint,terebint,terebinto,teɾebintos
terestru,tɛrrɛstr,terːestre,terestɾe
teribil,tɛrribl,terːibile,terible
terikol,tɛrrikɔl,terːikolo,terikolas
teritorial,tɛrritɔrjal,terːitoriale,teritoɾjal
teritoriu,tɛrritwar,terːitorio,teritoɾjo
termin,tɛrm,termine,teɾminaɾ
terminal,tɛrminal,terminale,teɾminal
terminat͡sie,tɛrminɛzɔ̃,terminasione,teɾminasion
ternar,tɛrnɛr,ternario,teɾnaɾjo
teroare,tərɔriza,terːore,teroɾ
tert͡siar,tɛrtjɛr,tersiario,teɾsiaɾjo
t͡sese,tjse,tesːere,texeɾ
testator,tɛstatœr,testatore,testadoɾ
testikul,tɛstjkyl,testikolo,testikulo
tetrarh,tetrark,tetrarka,tetɾaɾka
tetrarhie,tetrarʃj,tetrarkia,tetɾaɾkja
tiarə,tjar,tiara,tjaɾa
tibie,tjbja,tibia,tibja
tiɡru,tjɡr,tiɡre,tiɡɾe
timp,tɛmpɔral,tempo,tjempo
timpan,tjmpâ,timpano,timpano
tinkturə,tɛntyr,tintura,tintuɾa
tində,pretɛndan,tenda,tendeɾ
t͡sinea,tənɥ,tenere,teneɾ
tip,tj,tipo,tipexo
tipik,tjpik,tipiko,tipiko
tiran,tjrâ,tiranːo,tiɾano
tiranə,tjrâ,tiranːo,tiɾano
tiranik,tjranik,tiranːiko,tiɾaniko
titlu,tjtr,titolo,titulo
toamnə,otɔmn,autunːo,otoɲo
tot,tɔtal,tutːo,todo
tolera,tɔlere,tolːerare,toleɾaɾ
tolerabil,tɔlerabl,tolːerabile,toleɾable
tolerant͡sə,tɔleran,tolːeransa,toleɾansia
ton,lə,tonːo,tono
tonsurə,tɔnsyr,tonsura,tonsuɾa
topaz,tɔpaz,topasio,topasio
torat͡ʃe,tɔrazik,torat͡ʃe,toɾaks
torent,tɔrr,torːente,torente
torid,tɔrri,torːido,torido
tortuos,tɔrtɥœ,tortuoso,toɾtwoso
tortuozitate,tɔrtɥɔzite,tortuosita,toɾtwosidad
torturə,tɔrtyr,torturare,toɾtuɾa
toksik,tɔksik,toxiko,toksiko
trakt͡siune,traktjɔ̃,trasione,tɾaksion
tradit͡sie,traditjɔ̃,tradisione,tɾadision
tradut͡ʃe,tradɥir,tradurːe,tɾadusiɾ
traɡə,sustrɛr,trarːe,tɾaeɾ
trad͡ʒedie,traʒɛdjâ,trad͡ʒedia,tɾaxedja
trad͡ʒik,traʒik,trad͡ʒiko,tɾaxiko
trad͡ʒikomedie,traʒi-kɔmedj,trad͡ʒikomːedia,tɾaxikomedja
transkrie,trâskrir,traʃrivere,tɾanskɾibiɾ
transkript͡sie,trâskriptjɔ̃,traʃrisione,tɾanskɾipsion
transfiɡura,trâsfiɡre,trasfiɡurare,tɾansfiɡwɾaɾ
transforma,trâsfɔrme,trasformare,tɾansfoɾmaɾ
transfuziune,trâsfysjɔ̃,trasfusione,tɾansfusjon
transɡresiune,trâsɡrɛsjɔ̃,trasɡresːione,tɾansɡɾesjon
transɡresor,trâsɡrɛsœr,trasɡresːore,tɾansɡɾesoɾ
translut͡ʃid,trâslyzi,trazlut͡ʃido,tɾanslusido
transmarin,trâsmarɛ̃,tranzmarino,tɾansmaɾino
transmiɡrat͡sie,trâsmiɡratjɔ̃,trazmiɡrasione,tɾansmiɡɾasion
transmiɡrat͡siune,trâsmiɡratjɔ̃,trazmiɡrasione,tɾansmiɡɾasion
transmisiune,trâsmisjɔ̃,trazmisːione,tɾansmisjon
transmuta,trâsmyte,trazmutare,tɾansmutaɾ
transmutat͡sie,trâsmytatjɔ̃,trazmutasione,tɾansmutasion
transpune,trâspɔze,trasporːe,tɾansponeɾ
tranzakt͡sie,transaktjɔ̃,transasione,tɾansaksion
tranzit͡sie,transitjɔ̃,transisione,tɾansision
trapez,trapɛz,trapesio,tɾapesio
tratat,trɛte,tratːare,tɾatado
traumatik,tromatjk,traumatiko,tɾaumatiko
trei,trwa,tre,tɾes
trepan,trepâ,trápano,tɾepano
triadə,trja,triade,tɾjada
trib,triby,tribu,tɾibu
tribulat͡sie,tribylatjɔ̃,tribolasione,tɾibulasion
tribulat͡siune,tribylatjɔ̃,tribolasione,tɾibulasion
tribun,tribœ̃,tribuno,tɾibuna
tribunə,tribyn,tribuna,tɾibuna
tribunal,tribynal,tribunale,tɾibunal
trikolor,trikɔlɔr,trikolore,tɾikoloɾ
trikorn,trikɔrn,trikorno,tɾikoɾnjo
trident,tri,tridente,tɾidente
trimestru,trimɛstr,trimestre,tɾimestɾe
triremə,trirɛm,trireme,tɾireme
trist,trist,tristet͡sa,tɾiste
tristet͡sə,trist,tristet͡sa,tɾistesa
triumfa,trjɔmfal,trionfo,tɾjunfo
triumfal,trjɔmfal,trionfale,tɾjunfal
triunɡi,trjâɡl,trianɡolo,tɾjanɡwlo
tropik,trɔpik,trope,tɾopiko
trufə,tryf,tronfio,tɾufa
tub,tyb,tubo,tubo
tubə,tyba,tuba,tuba
tumoare,tymœr,tumore,tumoɾ
tumul,tymyly,tumulo,tumulo
tumult,tymylt,tumulto,tumulto
tuna,tɔ̃,tonare,tɾonaɾ
tunikə,tynik,tunika,tunika
turbə,turb,turbare,tuɾbaɾ
turbid,tyrbi,torbido,tuɾbido
turbinə,tyrbin,turbina,tuɾbina
turbulent,tyrbyl,turbolento,tuɾbulento
turbulent͡sə,tyrbylɛn,turbolensa,tuɾbulensia
turna,turne,tornare,beɾteɾ
tuse,tusir,tosːa,tos
tutelə,tytɛl,tutela,tutela
ult͡ʃerat͡sie,ylseratjɔ̃,ult͡ʃerasione,ulseɾasion
ultim,yltjm,ultimo,ultimo
uman,ymɛ̃,umano,wmano
umanitate,ymanite,umanita,wmanidad
umər,pɔmɛt,omero,ombɾo
umbelə,ɔmbɛl,umbelːa,umbela
umfla,âfle,enfiare,ʝnt͡ʃaɾ
umil,ɥə̃bl,umile,wmilde
umilitate,ymilite,umilta,wmildad
umoare,ymœr,umore,wmoɾ
umple,âplir,empiere,ent͡ʃiɾ
unanimitate,ynanimite,unanimita,unanimidad
unde,dɔn,donde,ond
unɡi,aŋylɛr,anɡolo,anɡwlo
unɡie,ɔ̃ɡl,unɡia,uɲa
unikorn,ynikɔrn,unikorno,unikoɾnjo
unifika,ynifje,unifikare,unifikaɾ
uniformitate,ynifɔrmite,uniformita,unifoɾmidad
unitate,ynite,unita,unidad
uniune,ynjɔ̃,unione,unjon
univers,ynivɛr,universo,unibeɾso
universal,ynivɛrsɛl,universale,unibeɾsal
universalii,ynivɛrsɛl,universale,unibeɾsales
universalitate,ynivɛrsalite,universalita,unibeɾsalidad
universitate,ynivɛrsite,universita,unibeɾsidad
urban,yrbɛ̃,urbano,uɾbano
urbanitate,yrbanite,urbanita,uɾbanidad
urt͡ʃior,ɔrsɥɛl,ort͡ʃuolo,oɾswela
urd͡ʒent,yrɡ,urd͡ʒente,uɾxente
urnə,yrn,urna,uɾna
urzi,urdir,ordire,uɾdiɾ
urzikə,ɔrtj,ortika,oɾtiɡa
uʃor,leʒe,led͡ʒːero,lixeɾo
uter,yterɔ,utero,uteɾo
uterin,yterɛ̃,uterino,uteɾino
util,ytjl,utile,util
utilitate,ytjlite,utilita,utilidad
uvulə,yvyl,uɡola,ubula
uzukapiune,yzykapjɔ̃,usukapione,usukapjon
uzufruktuar,yzyfryktɥɛr,usufrutːuario,usufɾuktwaɾjo
uzurpa,yzyrpe,usurpare,usuɾpaɾ
uzurpator,yzyrpatœr,usurpatore,usuɾpadoɾ
vakə,vakkɛ̃,vakːa,baka
vəkar,vaʃe,vakːajo,bakeɾo
vakuolə,vakɥɔl,vakuolo,bakwola
vad,ɡɥe,vado,bado
vəduv,vœf,vedovo,bjudo
vad͡ʒin,vaɡɛ̃,vad͡ʒina,,baxina
vale,devale,valːe,baʝe
valid,vali,valido,balido
valoare,valœr,valore,baloɾ
valvulə,valvyl,valvola,balbula
vinde,vâdr,vendere,bendeɾ
vanilie,vanij,vaniʎa,bainiʝa
vanitate,vani,vanita,banidad
vapori,vapœr,vapore,bapoɾ
vaporos,vapɔrœ,vaporoso,bapoɾoso
variabil,varjabl,variabile,baɾjable
variat͡sie,varjatjɔ̃,variasione,baɾjasion
variat͡siune,varjatjɔ̃,variasione,baɾjasion
varia,varje,variare,baɾjaɾ
variolə,varjɔl,vaiolo,biɾwela
vərsare,vɛrsɛm,versare,derame
vaso,vazɔ,vaso,baso
vatit͡ʃina,vatjzine,vatit͡ʃinare,batisina
veki,vjəj,travekːiet͡sa,bjexo
vet͡ʃin,vwazɛ̃,vit͡ʃino,besino
vektoare,vɛtyr,vetːore,bektoɾ
ved͡ʒeta,veʒete,ved͡ʒetare,bexetaɾ
ved͡ʒetat͡sie,veʒetatjɔ̃,ved͡ʒetasione,bexetasion
vehement͡sə,veemɛn,veemensa,beemensia
vehikul,veikyl,veikolo,beʝkulo
velot͡ʃitate,velɔzite,velot͡ʃita,belosidad
venə,vɛn,vena,bena
venal,venal,venale,benal
venalitate,venalite,venalita,benalidad
venerabil,venerabl,venerabile,beneɾable
veni,vənir,venire,beniɾ
venial,venjɛl,veniale,benjal
venie,vənir,venia,beniɾ
venin,vəlɛ̃,veleno,beneno
venos,vɛnœ,venoso,benoso
ventila,vɛntjle,ventilare,bentilaɾ
ventral,vâtral,ventrale,bentɾal
ventrikul,vâtrikyl,ventrikolo,bentɾikulo
ventrilok,vâtrilɔk,ventrilokuo,bentɾilokwo
verb,vɛrb,verbo,beɾbo
verbinə,vɛrvɛn,verbena,beɾbena
vers,vɛr,verso,beɾso
versifikat͡siune,vɛrsifikatjɔ̃,versifikasione,beɾsifikasion
versiune,vɛrsjɔ̃,versione,beɾsjon
vertebrə,vɛrtɛbr,vertebra,beɾtebɾa
vertebrat,vɛrtebre,vertebrato,beɾtebɾado
verukə,vɛrrɥ,verːuka,beruɡa
vestalə,vɛstal,vestale,bestal
vestibul,vɛstjbyl,vestibolo,bestibulo
vestid͡ʒiŭ,vɛstjʒ,vestid͡ʒo,bestixio
veteran,veterâ,veterano,beteɾano
vezikə,vɛsj,vest͡ʃika,bexiɡa
vezikulə,vezikyl,vest͡ʃikola,besikula
viŭ,vja,via,bibiɾ
vibra,vibre,vibrare,bibɾaɾ
vikar,vikɛr,vikario,bikaɾjo
vit͡ʃinal,vizinal,vit͡ʃinale,besinal
vit͡ʃios,vikjœ,vitioso,bisioso
vit͡ʃiŭ,viz,visio,bisio
viktimə,viim,vitːima,biktima
viktoria,viktwar,vitːoria,biktoɾja
viktorios,viktɔrjœ,vitːorioso,biktoɾjoso
video,vidəɔ,video,bideo
viespe,ɡɥɛ,vespa,abispa
vid͡ʒil,viʒil,vid͡ʒile,bixilja
vid͡ʒilent͡sə,viʒilan,vid͡ʒilansa,bixilansia
viu,vif,viɲa,biɲa
vilə,vil,vilːa,biʝa
vindeka,vɛnʒe,vendikare,ɾeponeɾse
vinikol,vinikɔl,vinikolo,binifikasion
violent,vjɔl,violento,bjolento
violent͡sə,vjɔlɛn,violensa,bjolensia
viraɡo,viraɡɔ,viraɡo,biɾaɡo
vird͡ʒinal,virʒinal,vird͡ʒinale,biɾxinal
vird͡ʒinitate,virʒinite,verd͡ʒinita,biɾxinidad
virilitate,virilite,virilita,biɾilidad
virtuos,vɛrtœ,virtuoso,biɾtwoso
virtute,vɛrty,virtu,biɾtud
virulent,viryl,virulento,biɾulento
virulent͡sə,virylɛn,virulensa,biɾulensia
virus,viry,virus,biɾus
vɨskos,viskœ,viʃoso,biskoso
vitə,vjan,vita,bida
vital,vital,vitale,bital
vitalitate,vitalite,vitalita,bitalidad
vitrifika,vitrifje,vitrifikare,bitɾifikaɾ
vituperare,vitypere,vituperare,bitupeɾaɾe
vivat͡ʃitate,vivazite,vivat͡ʃita,bibasidad
vizibil,vizibl,visibile,bisible
vizitə,vizi,visita,bisitaɾ
viziune,visjɔ̃,visione,bisjon
vizual,vizɥɛl,visuale,biswal
voastrə,vɔstr,vostro,bwestɾo
vokabulə,vɔkabl,vokabolo,bokablo
vokabular,vɔkabylɛr,vokabolario,bokabulaɾjo
vokalə,vɔkal,vokale,bokal
vokat͡sie,vɔkatjɔ̃,vokasione,bokasion
vokat͡siune,vɔkatjɔ̃,vokasione,bokasion
vokativ,vɔkatjf,vokativo,bokatibo
vot͡ʃi,vɔkabylar,vot͡ʃi,boses
volant,vɔlan,volano,bolante
volubilitate,vɔlybilite,volubilita,bolubilidad
volum,vɔlym,volume,bolumen
voluntar,vɔlɔntɛr,volontario,boluntaɾjo
voluptos,vɔlyptɥœ,volutːuoso,boluptwoso
volutə,vɔly,voluta,boluta
vomer,vɔme,vomere,bomeɾ
vorat͡ʃe,vɔraz,vorat͡ʃe,boɾas
vorat͡ʃitate,vɔrazite,vorat͡ʃita,boɾasidad
vulɡar,vylɡɛr,volɡare,bulɡaɾ
vulɡaritate,vylɡarite,volɡarita,bulɡaɾidad
vulnerabil,vylnerabl,vulnerabile,bulneɾable
vultur,ɛɡl,avoltojo,bwitɾe
vulvə,vylv,vulva,bulba
zət͡ʃea,ʒezir,d͡ʒat͡ʃere,iaseɾ
zet͡ʃe,di,diet͡ʃi,djes
zel,zəl,selo,selo
zi,di,di,desiɾ
ziŭə,di,di,dja
zodiak,zɔdjak,sodiako,sodjako
